step,max_kl,lr,steps,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
37,0.01,0.001,600,-3.44097,-284.898,-276.646,8.20945,0.94381,0.0946479,999.392,-8.11401,-8.22718,0,0.00919039,1.36984,10.847,660.754
38,0.01,0.001,600,-3.26039,-273.801,-264.165,9.58191,0.939506,0.0797102,1011.69,-8.47137,-8.54389,0,0.00893311,1.32687,11.4399,679.824
39,0.01,0.001,600,-2.71955,-251.192,-235.413,15.6986,0.938111,0.0575933,762.184,-17.0426,-17.1331,0,0.00735401,1.27067,11.9701,696.378
40,0.01,0.001,600,-2.58944,-231.155,-218.954,12.1815,0.966405,0.0607135,538.568,-13.1392,-13.2139,0,0.00889938,1.21293,10.5387,711.462
41,0.01,0.001,600,-2.37662,-216.092,-205.47,10.5976,0.975162,0.0547178,404.736,-11.1552,-11.2051,0,0.0073948,1.1881,10.4069,726.347
42,0.01,0.001,600,-2.38065,-193.214,-187.099,6.08263,0.977497,0.0545845,434.505,-6.81202,-6.84893,0,0.00785188,1.15566,10.2308,740.808
43,0.01,0.001,600,-2.30019,-187.74,-181.606,6.10382,0.980825,0.0645406,419.826,-5.07639,-5.12324,0,0.0080485,1.16447,9.68793,754.725
44,0.01,0.001,600,-2.21305,-176.882,-170.671,6.20113,0.976354,0.0570912,492.164,-5.92308,-5.96331,0,0.00838016,1.15532,9.70396,768.423
45,0.01,0.001,600,-2.07046,-160.972,-154.45,6.46475,0.96747,0.0591829,583.578,-3.94222,-3.98276,0,0.00810065,1.11837,9.86168,782.299
46,0.01,0.001,600,-2.19347,-163.724,-159.115,4.58126,0.972094,0.0629609,672.507,-5.76143,-5.8083,0,0.00906923,1.08228,9.70434,796.408
47,0.01,0.001,600,-1.86961,-128.233,-121.202,6.96481,0.939164,0.0611389,703.256,-7.26985,-7.33195,0,0.00845416,1.0575,9.53887,810.076
48,0.01,0.001,600,-1.13893,-93.5518,-80.164,13.3398,0.864731,0.0551274,655.229,-17.0421,-17.123,0,0.00751887,1.04682,8.84788,822.61
